Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Severe Weather;8/28/2011;0:01;8/30/2011;12:01;Central Hudson Gas & Electric;Mid-Hudson, New York;Unknown;180000;severe weather
Severe Weather - Hurricane Isaac;8/29/2012;6:53;8/30/2012;14:00;Dixie Electric Membership Corp;Louisiana;150;68018;severe weather, hurricane/tropical storm
Suspected Physical Attack;8/31/2011;0:52;8/31/2011;0:52;Duke Energy;Southwest Ohio;0;0;vandalism, physical
Severe Weather - Hurricane Isaac;8/29/2012;9:48;8/31/2012;0:55;Cleco Power LLC;Louisiana;Unknown;95000;severe weather, hurricane/tropical storm
Severe Weather - Hurricane Isaac;8/29/2012;9:00;8/31/2012;0:00;Louisiana Generating LLC;Louisiana;300;50000;severe weather, hurricane/tropical storm
Severe Weather - Thunderstorms;8/30/2013;19:30;8/31/2013;1:30;Exelon Corporation/ComEd;Entire ComEd territory Illinois;Unknown;157000;severe weather, thunderstorm
Public Appeal to Reduce Electricity Usage;8/4/2011;10:30;8/4/2011;16:00;American Electric Power (AEP);Arkansas, Oklahoma, Texas;Unknown;Unknown;public appeal
Severe Weather - Thunderstorms;8/4/2012;4:00;8/4/2012;7:20;Northern Indiana Public Service Company;Northern Indiana;Unknown;61413;severe weather, thunderstorm
Electrical System Separation (Islanding);8/4/2012;3:55;8/4/2012;4:21;Pacific Gas & Electric Co;Temblor Substation in McKittrick, California;5;127;islanding
Physical Attack, Vandalism;8/4/2013;3:00;8/4/2013;4:00;Pacificorp;Utah;Unknown;Unknown;vandalism, physical
Public Appeal to Reduce Electricity Usage;8/1/2011;15:00;8/5/2011;19:00;ERCOT ISO;Texas;0;0;public appeal
Severe Weather - Thunderstorms;8/4/2012;17:30;8/5/2012;0:10;Exelon Corporation/ComEd;Northeast Illinois;Unknown;325000;severe weather, thunderstorm
Electrical System Separation (Islanding), Severe Weather;8/5/2013;18:35;8/5/2013;18:45;WECC RC Vancouver;Vancouver, British Columbia;Unknown;Unknown;islanding, severe weather
Physcial Attack, Vandalism;8/6/2013;16:00;8/6/2013;17:32;El Paso Electric;Holloman Air Force Base, New Mexico;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;8/7/2013;0:15;8/7/2013;21:27;We Energies;Eastern Central Wisconsin;220;51160;severe weather, thunderstorm
Fuel Supply Emergency (Natural Gas & Fuel Oil);8/7/2013;7:30;8/7/2013;9:14;Wisconsin Public Service Corp;Green Bay, Wisconsin;Unknown;Unknown;fuel supply emergency, natural gas
Vandalism;8/8/2011;9:35;8/8/2011;16:00;City of Tacoma (TPWR);Collins Substation, Washington;Unknown;Unknown;vandalism
Suspected Physical Attack;8/8/2011;9:30;8/8/2011;9:30;Dayton Power & Light;Greene County, Ohio;0;0;vandalism, physical
Physcial Attack, Vandalism;8/7/2013;14:30;8/8/2013;13:00;Caithness Shepherds Flat, LLC;Arlington, Oregon;Unknown;Unknown;vandalism, physical
Interruption of Firm Power;8/9/2002;8:23;8/9/2002;12:13;Lake Worth Utils;Florida;51;25000;load shedding
Vandalism;8/9/2011;10:26;8/9/2011;17:00;City of Tacoma (TPWR);Polk Substation, Tacoma, Washington;Unknown;Unknown;vandalism
Electrical System Separation (Islanding);8/8/2011;19:36;8/9/2011;0:00;Oklahoma Municipal Power Authority;Oklahoma;92;14500;islanding
Vandalism;9/1/2011;8:13;9/1/2011;16:00;City of Tacoma (TPWR);Graham Substaion, Washington;Unknown;Unknown;vandalism
