Event Description;Date Event Began;Time Event Began;Date of Restoration;Time of Restoration;Respondent;Geographic Areas;Demand Loss (MW);Number of Customers Affected;Tags
Major Storm;2/17/2011;1:25;2/19/2011;10:13;Pacific Gas and Electric;Northern and Central California;91;80000;severe weather, storm
Generation Inadequacy/Load Shed;2/2/2011;7:24;2/2/2011;22:23;El Paso Electric Company;Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico;280;178000;load shedding
Generation Inadequacy/Load Shed;2/2/2011;6:22;2/2/2011;9:57;Salt River Project;Central Arizona;3963;69000;load shedding
Winter Storm;2/1/2011;21:00;2/2/2011;14:00;Exelon Corp/ComEd - Commonwealth Edison;Northern Illinois;Unknown;190000;severe weather, winter storm
Vandalism;2/2/2013;21:15;2/2/2013;22:15;El Paso Electric Co.;El Paso, New Mexico;Unknown;Unknown;vandalism
Major Storm;2/19/2011;12:30;2/20/2011;4:00;Exelon Corporation/PECO;Philadelphia area, Pennsylvania;Unknown;118000;severe weather, storm
Electrical System Separation (Islanding);2/19/2013;16:01;2/20/2013;0:55;Pacific Gas & Electric Co.;Stockton, California;13850;6810;islanding
Severe Weather - Winter Storm;2/19/2012;17:00;2/21/2012;7:33;American Electric Power;Kentucky, Virginia, West Virginia;Unknown;90000;severe weather, winter storm
Vandalism;2/21/2013;11:00;2/21/2013;11:30;El Paso Electric;Las Cruces, New Mexico;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms/High Winds;2/21/2014;2:53;2/21/2014;21:00;Southern Company;Northern/Northeastern Georgia;221;66445;severe weather, thunderstorm, wind
Severe Weather - Snow/Ice;2/20/2014;16:40;2/21/2014;23:59;Ameren Missouri;Missouri, Illinois;Unknown;66000;severe weather, winter storm
Winter Storm;2/20/2011;16:00;2/23/2011;16:00;Consumers Energy;Southern Lower Peninsula, Michigan;262;160000;severe weather, winter storm
Suspected Cyber Attack;2/17/2011;13:00;2/23/2011;16:53;City of Roseville (Roseville Electric);Roseville, California;0;0;vandalism, cyber
Suspected Physical Attack;2/23/2012;5:45;2/23/2012;15:02;City of College Station;South East College Station, Texas;0;0;vandalism, physical
Fuel Supply Emergency - Coal;2/5/2014;7:00;2/23/2014;7:00;Upstate New York Power Producers;New York;300;Unknown;fuel supply emergency, coal
Electrical System Separation (Islanding);2/24/2011;16:51;2/24/2011;16:54;American Electric Power (CSWS-SPP);Arkansas;4;Unknown;islanding
Suspected Physical Attack;2/24/2012;11:24;2/24/2012;11:49;Tacoma Power (TPWR);Spanaway, Washington;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;2/23/2012;23:12;2/24/2012;1:00;ISO New England;Londonderry, New Hampshire;0;0;vandalism, physical
Severe Weather;2/25/2011;15:20;2/25/2011;18:00;Dominion - Virginia Power;Virginia;Unknown;50000;severe weather
Vandalism;2/25/2011;10:30;2/25/2011;10:45;PacifiCorp;Salt Lake City, Utah;0;0;vandalism
Interruption of Firm Load;2/27/2002;10:48;2/27/2002;11:35;San Diego Gas & Electric;California;300;255000;load shedding
Severe Weather;2/25/2011;15:23;2/27/2011;18:00;Baltimore Gas & Electric;Maryland;Unknown;93000;severe weather
Winter Storm;2/25/2011;8:00;2/28/2011;17:30;Pacific Gas and Electric;Northern and Central California;91;80000;severe weather, winter storm
Suspected Physical Attack;2/28/2012;7:00;2/28/2012;7:00;Coos Curry Electric Cooperative;Coos County Oregon;Unknown;Unknown;vandalism, physical
Electrical System Separation (Islanding);2/28/2012;2:59;2/28/2012;6:12;Pacific Gas and Electric;Sacramento, California;1;1;islanding
Suspected Cyber Attack;2/3/2011;14:30;2/3/2011;14:30;Potomac Electric Power Co/PEPCO Holdings Inc.;Bowie, Maryland;Unknown;0;vandalism, cyber
Fuel Supply Deficiency (Natural Gas);2/2/2011;17:00;2/3/2011;22:00;Southwestern Public Service;Texas Panhandle, Southeastern New Mexico;Unknown;Unknown;fuel supply emergency, natural gas
Generation Inadequacy/Load Shed;2/2/2011;5:43;2/3/2011;10:00;ERCOT ISO;Texas;4000;1069730;load shedding
Winter Storm;2/1/2011;15:00;2/3/2011;0:00;American Electric Power - Ohio;Indiana, Ohio;Unknown;158013;severe weather, winter storm
Ice Storm;1/31/2011;22:00;2/3/2011;0:00;Duke Energy Midwest;Southwestern Ohio and Indiana;996;272880;severe weather, winter storm
Generation Inadequacy/Load Shed;2/3/2011;22:04;2/4/2011;0:32;ERCOT ISO;Texas;400;86013;load shedding
Fuel Supply Deficiency (Natural Gas);2/3/2011;15:00;2/4/2011;0:00;San Diego Gas and Electric Company;San Diego area, California;Unknown;Unknown;fuel supply emergency, natural gas
Winter Storm;2/2/2011;3:00;2/4/2011;23:59;Exelon Corporation/PECO;Philadelphia area, Pennsylvania;Unknown;213000;severe weather, winter storm
Severe Weather - Ice;2/5/2014;8:05;2/5/2014;8:06;Baltimore Gas & Electric Company;Baltimore, Maryland;800;181000;severe weather, winter storm
Severe Weather - Snow/Ice;2/5/2014;5:00;2/5/2014;5:01;Exelon Corporation/PECO;Pennsylvania;Unknown;715000;severe weather, winter storm
Fuel Supply Emergency - Natural Gas;2/6/2014;13:00;2/6/2014;22:00;California ISO;California;4000;Unknown;fuel supply emergency, natural gas
Public Appeal to Reduce Electricity Usage;2/6/2014;13:58;2/6/2014;20:40;American Electric Power;Rio Grande Valley Texas;Unknown;Unknown;public appeal
Fuel Supply Emergency - Natural Gas;2/6/2014;14:15;2/6/2014;19:39;Southern California Edison;California;611;Unknown;fuel supply emergency, natural gas
Fuel Supply Emergency - Natural Gas;2/6/2014;13:05;2/6/2014;19:15;Pacific Gas & Electric Co;Northern California;160;Unknown;fuel supply emergency, natural gas
Ice Storm;1/30/2002;6:00;2/7/2002;0:00;Oklahoma Gas & Electric;Oklahoma;500;1881134;severe weather, winter storm
Vandalism;2/7/2013;8:32;2/7/2013;9:47;Duke Energy Ohio Inc;Cincinnati, Ohio;Unknown;0;vandalism
Public Appeal to Reduce Electricity Usage;2/7/2014;16:50;2/7/2014;20:30;American Electric Power;Texas;Unknown;Unknown;public appeal
Public Appeal to Reduce Electricity Usage;2/6/2014;15:35;2/7/2014;11:30;ERCOT;ERCOT Region Texas;Unknown;Unknown;public appeal
Severe Weather - Snow/Ice;2/5/2014;7:35;2/7/2014;4:03;PPL Electric Utilities Corp;Lancaster Region, Pennsylvania;Unknown;62159;severe weather, winter storm
Equipment Trip & Failure;2/8/2013;11:38;2/8/2013;14:17;Potomac Electric Power Company;District of Columbia, Prince George's County Maryland;140;52000;equipment failure
Public Appeal to Reduce Electricity Usage;2/7/2014;16:30;2/8/2014;9:00;ERCOT;ERCOT Region Texas;Unknown;Unknown;public appeal
Vandalism;2/9/2011;14:54;2/9/2011;17:00;Tacoma Power - TPWR;University Place, Washington;0;0;vandalism
Winter Storm;2/9/2011;3:45;2/9/2011;9:12;CenterPoint Energy;Western Houston, Texas;399;60000;severe weather, winter storm
Vandalism, Equipment Fault;2/9/2013;8:30;2/9/2013;15:00;El Paso Electric Co.;El Paso, New Mexico;Unknown;Unknown;vandalism, equipment failure
Severe Weather - Snow/Ice;2/5/2014;1:00;2/9/2014;20:40;FirstEnergy Corp: Met-Ed;Pennsylvania;Unknown;144000;severe weather, winter storm
Severe Weather - Snow/Ice;2/5/2014;0:00;2/9/2014;18:00;FirstEnergy Corp: Potomac Edison;Maryland, West Virginia;Unknown;101580;severe weather, winter storm
Severe Weather - Winter Storm Nemo;2/26/2013;13:00;3/1/2013;10:00;Associated Electric Coop, Inc;Northern Missouri;Unknown;56444;severe weather, winter storm
Severe Weather;3/9/2002;0:00;3/11/2002;0:00;Consumers Energy Co.;Lower Peninsula of Michigan;190;190000;severe weather
Generation Inadequacy/Load Shed;3/11/2011;7:02;3/11/2011;9:15;Pacific Gas and Electric;Humboldt and Eureka, California;15;6800;load shedding
Suspected Physical Attack;3/10/2011;12:03;3/11/2011;6:00;ERCOT ISO;Texas;Unknown;Unknown;vandalism, physical
Severe Weather - High Winds;3/12/2014;19:35;3/13/2014;0:00;Duke Energy Carolinas;North Carolina;250;61377;severe weather, wind
Suspected Physical Attack;3/11/2014;0:00;3/13/2014;12:00;ITC Midwest LLC;Boone County, Iowa;Unknown;Unknown;vandalism, physical
Suspected Cyber Attack;3/14/2011;7:30;3/14/2011;16:55;Baltimore Gas & Electric;Baltimore, Maryland;Unknown;Unknown;vandalism, cyber
Severe Weather;3/13/2011;14:20;3/14/2011;15:46;PacifiCorp;Oregon;Unknown;9000;severe weather
Physical Attack - Vandalism;3/14/2014;12:34;3/14/2014;16:45;ITC Holdings;Boone County, Iowa;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;3/15/2011;18:00;3/15/2011;19:14;Entergy Services, Incorporated;The Woodlands, Texas;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;3/16/2012;16:00;3/16/2012;16:00;Delmarva Power & Light Company;New Castle, Delaware;0;0;vandalism, physical
Vandalism;3/17/2011;7:40;3/17/2011;11:00;ISO New England;Deerfield, New Hampshire;Unknown;Unknown;vandalism
Fuel Supply Emergency - Coal;3/4/2014;9:06;3/17/2014;9:06;Wisconsin Public Service Corp;Weston, Wisconsin;Unknown;Unknown;fuel supply emergency, coal
Fuel Supply Deficiency (Coal);3/8/2011;8:00;3/18/2011;9:00;AES Somerset;Western New York;676;Unknown;fuel supply emergency, coal
Vandalism;3/18/2011;9:54;3/18/2011;15:34;Dayton Power & Light;Greene County, Ohio;Unknown;Unknown;vandalism
Suspected Physical Attack;3/18/2013;17:50;3/18/2013;18:07;Jacksonville Electric Authority (JEA);Northeast Florida;0;0;vandalism, physical
Generator Trip, Load Shed;3/18/2013;5:21;3/18/2013;5:41;Puerto Rico Electric Power Authority;Systemwide Puerto Rico;350;262937;load shedding, generator trip
Physical Attack - Sabatoge;3/17/2014;17:25;3/18/2014;12:56;Arizona Public Service Co;Glendale, Arizona;Unknown;Unknown;vandalism
Operational Failure/Equipment Malfunction;3/2/2012;13:45;3/2/2012;15:30;City of Piggott, Arkansas;Piggott, Arkansas;Unknown;Unknown;equipment failure
Severe Weather - Thunderstorms;3/20/2012;8:00;3/20/2012;13:00;CenterPoint Energy;Houston, Texas;Unknown;96000;severe weather, thunderstorm
Severe Weather - Thunderstorms;3/18/2013;19:30;3/20/2013;14:30;Southern Company;North/Central Alabama, Georgia;800;240000;severe weather, thunderstorm
Suspected Cyber Attack;3/20/2014;0:00;3/20/2014;12:01;NRG Energy Inc 2;New York;Unknown;Unknown;vandalism, cyber
Major Storm;3/21/2011;12:35;3/21/2011;14:45;Southern California Edison Company (SCE);Southern California;150;54332;severe weather, storm
Vandalism;3/21/2011;0:57;3/21/2011;2:29;ISO New England;Deerfield, New Hampshire;Unknown;Unknown;vandalism
Major Storm;3/20/2011;9:44;3/21/2011;10:00;Los Angeles Department of Water and Power;Los Angeles, California;Unknown;79000;severe weather, storm
Fuel Supply Emergency - Coal;2/7/2014;7:00;3/21/2014;8:00;Somerset Operating Company, LLC;Niagara County New York;675;Unknown;fuel supply emergency, coal
Suspected Physical Attack;3/23/2012;19:34;3/23/2012;19:34;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Vandalism;3/23/2013;7:00;3/23/2013;9:00;ISO New England;Connecticut;Unknown;Unknown;vandalism
Major Storm;3/23/2011;18:30;3/24/2011;4:55;American Electric Power - AEP;Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia;Unknown;60596;severe weather, storm
Major Storm;3/19/2011;23:56;3/24/2011;19:10;Pacific Gas and Electric;Northern and Central California;91;128000;severe weather, storm
Physical Attack - Vandalism;3/24/2014;11:07;3/24/2014;11:08;PacifiCorp;Salt Lake City, Utah;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;3/26/2012;13:24;3/26/2012;13:24;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Electrical System Separation (Islanding);3/26/2014;13:37;3/26/2014;14:33;Peak Reliability;Montana;Unknown;Unknown;islanding
Transmission Level Outage;3/27/2011;13:27;3/27/2011;17:00;Pacific Gas and Electric;Sonoma and Central Valley, California;295;165000;transmission interruption
Physical Attack, Vandalism;3/27/2013;10:25;3/27/2013;12:19;ISO New England;Western Massachusetts;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;3/28/2012;10:17;3/28/2012;10:17;Tacoma Power (TPWR);Graham, Washington;Unknown;Unknown;vandalism, physical
Vandalism;3/28/2013;13:01;3/28/2013;13:02;Delmarva Power & Light Company;Wilmington, Delaware;Unknown;Unknown;vandalism
Electrical System Separation (Islanding);3/29/2012;0:01;3/29/2012;0:02;Lansing Board of Water & Light;Lansing, Michigan;Unknown;0;islanding
Suspected Physical Attack;3/29/2013;10:16;3/29/2013;10:17;Baltimore Gas and Electric;Maryland;Unknown;Unknown;vandalism, physical
Vandalism;3/3/2013;16:27;3/3/2013;18:20;Potomac Electric Power Company;Tacoma Park, Maryland;Unknown;Unknown;vandalism
Transmission System Interruption;3/3/2013;6:39;3/3/2013;10:29;Pacific Gas & Electric Co;Merced County, California;300;58850;transmission interruption
Suspected Physical Attack;3/3/2014;17:25;3/3/2014;17:25;Orange and Rockland Utilities, Inc.;New York;Unknown;Unknown;vandalism, physical
Severe Weather - Winter Storm;3/3/2014;6:40;3/3/2014;15:28;Tennessee Valley Authority;Tennessee;Unknown;65904;severe weather, winter storm
Fuel Supply Emergency - Hydro;3/3/2014;1:48;3/3/2014;1:49;Public Utility District #1 of Chelan County (CHPD);Mid-Columbia River Generation, Washington;630;Unknown;fuel supply emergency, hydro
Suspected Physical Attack;3/30/2012;11:10;3/30/2012;11:30;ISO New England;Vermont;Unknown;Unknown;vandalism, physical
Severe Weather;3/31/2011;11:30;3/31/2011;20:30;Tampa Electric Company;Greater Tampa Bay, Florida;206;87000;severe weather
System Wide Voltage Reduction;3/31/2014;15:41;3/31/2014;20:08;Puerto Rico Electric Power Authority;Puerto Rico;Unknown;Unknown;voltage reduction
Suspected Physical Attack;3/4/2012;1:27;3/4/2012;6:58;Potomac Electric Power (Pepco Holdings Inc.);Prince Georges County, Maryland;Unknown;Unknown;vandalism, physical
Severe Weather - Winter Storm;3/2/2012;21:00;3/4/2012;17:30;Consumers Energy;Lower Peninsula, Michigan;50;140000;severe weather, winter storm
Equipment Failure, Transmission System Interruption;3/4/2013;9:49;3/4/2013;22:00;Puerto Rico Electric Power Authority;Metropolitan area Puerto Rico;Unknown;Unknown;equipment failure, transmission interruption
Public Appeal due to Severe Weather - Cold;3/2/2014;19:00;3/4/2014;9:00;ERCOT;ERCOT Region Texas;Unknown;Unknown;severe weather, cold
Fuel Supply Deficiency (Coal);3/1/2011;8:00;3/5/2011;9:30;AES Somerset;Western New York;675;Unknown;fuel supply emergency, coal
Suspected Physical Attack;3/4/2012;13:38;3/5/2012;11:00;Entergy Corporation;Texas;Unknown;Unknown;vandalism, physical
Severe Weather - Winter Storm;3/2/2012;21:00;3/5/2012;16:30;Detroit Edison, Subsidiary of DTE Energy;Southeastern, Michigan;371;130000;severe weather, winter storm
Severe Weather - Tornadoes;3/2/2012;12:37;3/5/2012;0:01;Tennessee Valley Authority (TVA);Northern Alabama, Southeast Tennessee;500;Unknown;severe weather, tornado
Physical Attack;3/5/2014;17:06;3/5/2014;17:07;PacifiCorp;Salt Lake City, Utah;Unknown;Unknown;vandalism, physical
Severe Weather - Winter Storm;3/6/2013;8:22;3/7/2013;10:27;Dominion Virginia Power;Northwest Virginia;400;233000;severe weather, winter storm
Severe Weather - Winter Storm;3/7/2014;3:30;3/7/2014;21:00;Duke Energy Carolinas;Triad, North Carolina;1500;370900;severe weather, winter storm
Vandalism;3/6/2011;2:54;3/8/2011;8:00;PacifiCorp;Salt Lake City Region, Utah;Unknown;0;vandalism
Severe Weather;3/31/2011;14:30;4/1/2011;23:59;Progress Energy Florida (PEF);Central and Western Florida;Unknown;50000;severe weather
Vandalism - Copper Wire Theft;4/1/2013;8:40;4/1/2013;8:41;ISO New England;Connecticut;Unknown;Unknown;vandalism, physical
Physical Attack;3/26/2014;16:00;4/10/2014;0:00;ITC Midwest LLC;Iowa;Unknown;Unknown;vandalism, physical
Suspicious Activity;4/11/2011;17:40;4/11/2011;17:51;PacifiCorp;Salt Lake City, Utah;0;0;vandalism
Vandalism;4/11/2012;9:00;4/11/2012;9:00;North Attleborough Electric Department;North Attleboro, Massachusetts;0;0;vandalism
Suspected Physical Attack;4/12/2012;8:08;4/12/2012;16:30;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;4/12/2014;18:15;4/14/2014;9:00;Consumers Energy;Western and Central Michigan;Unknown;50000;severe weather, thunderstorm
Suspected Physical Attack;4/15/2012;19:38;4/15/2012;21:26;Southern Company;Georgia;Unknown;Unknown;vandalism, physical
Severe Weather;4/12/2014;20:00;4/15/2014;19:30;Detroit Edison Company;Michigan;Unknown;164000;severe weather
Severe Weather;4/16/2011;14:16;4/17/2011;16:30;Progress Energy Carolinas Inc;Central and Eastern North Carolina;Unknown;220000;severe weather
Suspected Physical Attack;4/17/2012;6:11;4/17/2012;17:48;San Diego Gas & Electric Company;San Diego County, California;0;0;vandalism, physical
Suspected Physical Attack;4/17/2013;15:36;4/17/2013;16:53;Tennessee Valley Authority;Colbert Steam Plant in Cherokee, Alabama;Unknown;Unknown;vandalism, physical
Loss of Part of a High Voltage Substation, Physical Attack;4/16/2013;1:47;4/18/2013;15:25;Pacific Gas & Electric Co;California;Unknown;0;vandalism
Severe Weather;4/19/2011;20:00;4/19/2011;22:00;Ameren Illinois;Illinois;Unknown;80000;severe weather
Vandalism;4/19/2011;14:01;4/19/2011;16:04;Tacoma Power Water Rail (TPWR);Graham, Washington;0;0;vandalism
Suspected Physical Attack;4/19/2012;7:53;4/19/2012;16:00;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Severe Weather - High Winds;4/16/2012;15:46;4/19/2012;2:00;Detroit Edison, Subsidiary of DTE Energy;Southeast, Michigan;218;111393;severe weather, wind
Equipment Malfunction;4/20/2011;8:07;4/20/2011;8:14;City of Ruston & Constellation Energy;Ruston, Louisiana;33;11000;equipment failure
Severe Weather;4/19/2011;23:13;4/20/2011;19:14;Constellation Energy Control and Dispatch;Osceola, Arkansas;22;Unknown;severe weather
Severe Weather;4/19/2011;22:44;4/20/2011;2:00;Memphis Light Gas and Water Division;Memphis, Tennessee;100;64000;severe weather
Vandalism;4/21/2011;7:15;4/21/2011;16:50;PacifiCorp;Oquirrh Substation, Salt Lake City, Utah;0;0;vandalism
Severe Weather - High Winds;4/20/2011;2:00;4/21/2011;0:00;Duke Energy Midwest;Indiana, Kentucky, Ohio;Unknown;165711;severe weather, wind
Severe Weather;4/19/2011;23:02;4/21/2011;17:32;Tennessee Valley Authority;Memphis, Tennessee;300;105000;severe weather
Physical Attack;4/21/2012;15:02;4/21/2012;20:09;ISO New England;East Bridgewater, Massachusetts;Unknown;Unknown;vandalism, physical
Severe Weather - Thunderstorms;4/20/2012;14:27;4/21/2012;4:27;CenterPoint Energy;Metropolitan Houston, Texas;Unknown;120377;severe weather, thunderstorm
Suspected Physical Attack;4/21/2013;2:11;4/21/2013;12:30;Tennessee Valley Authority;East Tennessee;Unknown;Unknown;vandalism, physical
Severe Weather - Storms and Wind;4/18/2013;15:00;4/21/2013;3:30;Detroit Edison Co;Southeast Michigan, Michigan;Unknown;99188;severe weather, wind
Severe Weather;4/22/2011;21:00;4/22/2011;23:00;Ameren;Metro St. Louis area, Missouri;0;55000;severe weather
Suspected Physical Attack;4/23/2012;11:56;4/23/2012;15:35;Seattle City Light;Snohomish County, Washington;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;4/23/2012;8:11;4/23/2012;12:47;Northern Indiana Public Service Company (NIPSCO);Northwest Indiana;Unknown;Unknown;vandalism, physical
Suspected Physical Attack;4/21/2012;20:55;4/23/2012;16:30;Tacoma Power (TPWR);Tacoma, Washington;Unknown;Unknown;vandalism, physical
Vandalism;4/23/2013;11:00;4/23/2013;11:01;Delmarva Power & Light Company;Newark, Delaware;Unknown;Unknown;vandalism
Electrical System Separation (Islanding);4/23/2013;0:49;4/23/2013;4:04;Pacific Gas & Electric Co;South of Humboldt, California;80;1;islanding
Load shedding of 100 Megawatts;4/23/2014;19:45;4/23/2014;20:37;MISO / Entergy Transmission;Baton Rouge, Louisiana;163;28000;load shedding
Electrical System Separation (Islanding);4/24/2014;15:02;4/24/2014;17:13;Peak Reliability;Alberta, Canada;Unknown;Unknown;islanding
Equipment Malfunction;4/25/2011;16:33;4/25/2011;17:19;Tennessee Valley Authority;Northeast Tennessee;140;Unknown;equipment failure
Physical Attack - Vandalism;4/25/2014;7:00;4/25/2014;7:30;Delmarva Power & Light Company;Delaware;Unknown;Unknown;vandalism, physical
Vandalism;4/26/2011;13:04;4/26/2011;14:00;PacifiCorp;Salt Lake City, Utah;0;0;vandalism
Vandalism;4/25/2013;16:00;4/26/2013;10:55;City and County of San Francisco;Sunol, California;0;0;vandalism
Severe Weather;4/26/2011;5:49;4/27/2011;9:59;Entergy Corporation;Southern Louisiana;120;Unknown;severe weather
Severe Weather;4/25/2011;17:30;4/27/2011;18:00;Entergy Corporation;Arkansas, Louisiana, Mississippi;Unknown;141700;severe weather
Physical Attack - Vandalism;4/27/2014;0:07;4/27/2014;0:09;PacifiCorp;Albany, Oregon;Unknown;Unknown;vandalism, physical
Equipment Malfunction;4/28/2011;16:09;4/28/2011;16:10;Mesquite Power, LLC;Phoenix, Arizona;960;Unknown;equipment failure
Severe Weather;4/27/2011;22:00;4/28/2011;10:00;American Electric Power;Ohio, Tennessee, Virginia;0;69000;severe weather
Severe Weather;4/26/2011;18:14;4/28/2011;17:00;West Memphis Utilities;Eastern Arkansas;50;13000;severe weather
Severe Weather;4/26/2011;9:51;4/28/2011;9:51;Tennessee Valley Authority;Alabama, Georgia, Mississippi, Tennessee;Unknown;55000;severe weather
Severe Weather;4/27/2011;10:00;4/29/2011;16:29;Tennessee Valley Authority;Alabama, Georgia, Mississippi, Tennessee;Unknown;612000;severe weather
Suspicious Activity;4/21/2011;19:00;4/29/2011;19:05;ITC Holdings;Trenton, Michigan;Unknown;Unknown;vandalism
Severe Weather - Thunderstorms;4/29/2014;23:30;4/29/2014;23:30;Southern Company;Mississippi, Alabama;355;106648;severe weather, thunderstorm
Physical Attack;4/3/2012;15:33;4/3/2012;20:25;Seattle City Light;Seattle, Washington;0;0;vandalism, physical
Vandalism;4/3/2012;11:10;4/3/2012;11:25;ISO New England;West Rutland, Vermont;0;0;vandalism
Vandalism;4/1/2012;20:27;4/3/2012;8:28;Mid American Energy Company;Council Bluffs, Iowa;0;0;vandalism
Sabotage, Vandalism;4/3/2013;11:05;4/3/2013;14:00;Colorado Springs Utilities;Colorado Springs, Colorado;0;0;vandalism
Severe Weather;4/28/2011;5:00;4/30/2011;18:30;FirstEnergy Service Company;Cleveland area, Ohio;Unknown;86000;severe weather
Severe Weather - Thunderstorms;4/30/2014;3:50;4/30/2014;14:00;Southern Company;Alabama, Florida, Georgia;296;89000;severe weather, thunderstorm
Severe Weather - Wind;4/4/2014;3:30;4/4/2014;8:15;Entergy Services, Inc.;Central Arkansas;Unknown;57200;severe weather, wind
Severe Weather;4/4/2011;21:00;4/5/2011;23:30;Southern Company;Alabama, Florida, Georgia, Mississippi;674;303434;severe weather
Severe Weather;4/4/2011;19:00;4/5/2011;20:00;Entergy Corporation;Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas;Unknown;74645;severe weather
Severe Weather;4/4/2011;19:00;4/5/2011;0:00;American Electric Power (AEP);Kentucky, West Virginia;Unknown;52920;severe weather
Severe Weather;4/4/2011;13:00;4/5/2011;12:00;Memphis Light Gas and Water Division;Shelby County, Tennessee;300;63000;severe weather
Suspected Cyber Attack;4/3/2011;20:23;4/5/2011;15:00;Entergy Corporation;Unknown;0;0;vandalism, cyber
Vandalism;4/6/2011;10:50;4/6/2011;10:50;Delmarva Power & Light Company;Felton, Delaware;0;0;vandalism
Suspected Physical Attack;4/4/2012;15:32;4/6/2012;15:30;Western Area Power Authority - Sierra Nevada Region (WASN);WAPA-SNR Regional Office, California;Unknown;Unknown;vandalism, physical
Severe Weather;4/5/2011;2:00;4/7/2011;23:00;Duke Energy Carolinas;North Carolina, South Carolina;1200;256000;severe weather
Physical Attack;4/7/2012;14:35;4/7/2012;14:36;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Physical Attack;4/7/2012;0:25;4/7/2012;0:26;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Physical Attack;4/7/2012;9:31;4/7/2012;9:32;Delmarva Power & Light Company;Newark, Delaware;0;0;vandalism, physical
Severe Weather;4/4/2011;14:00;4/8/2011;12:01;Tennessee Valley Authority;Davidson County, Tennessee;300;73000;severe weather
Severe Weather;4/4/2011;11:47;4/8/2011;12:01;Tennessee Valley Authority;Memphis, Tennessee;359;63000;severe weather
Physical Attack - Vandalism;4/8/2014;13:00;4/8/2014;13:01;Western Area Power Administration, Sierra Nevada Region;Davis, California;Unknown;Unknown;vandalism, physical
Voltage Reduction;4/8/2014;11:09;4/8/2014;11:20;Puerto Rico Electric Power Authority;Puerto Rico;Unknown;Unknown;voltage reduction
Vandalism;4/9/2013;11:30;4/9/2013;11:31;Delmarva Power & Light Company;Delaware City, Delaware;Unknown;Unknown;vandalism
Fuel Supply Emergency - Coal;4/3/2014;14:45;4/9/2014;11:53;We Energies;Wisconsin;Unknown;Unknown;fuel supply emergency, coal
Fuel Supply Emergency - Coal;1/24/2014;0:00;4/9/2014;11:53;We Energies;Wisconsin;Unknown;Unknown;fuel supply emergency, coal
Electrical System Separation (Islanding);5/1/2013;9:22;5/1/2013;9:24;Xcel Energy/Public Service Company of Colorado;Northeast Colorado;123;35230;islanding
Severe Weather - Thunderstorms;4/29/2014;9:37;5/1/2014;9:00;Tennessee Valley Authority;Northeastern Mississippi, Northern Alabama;Unknown;57000;severe weather, thunderstorm
Vandalism;5/10/2011;13:45;5/10/2011;15:00;ISO New England;New Hampshire;0;0;vandalism
Severe Weather;5/11/2011;0:15;5/11/2011;17:20;Duke Energy Carolinas;Charlotte, North Carolina;300;71000;severe weather
Vandalism;5/11/2011;13:35;5/11/2011;13:35;PacifiCorp;Green River, Wyoming;0;0;vandalism
Vandalism;5/11/2011;11:00;5/11/2011;11:30;Central Hudson Gas & Electric Corp.;North Chelsea Substation, New York;0;0;vandalism
Severe Weather;5/10/2011;22:21;5/11/2011;14:25;American Electric Power;Kentucky, West Virginia;Unknown;58000;severe weather
Generation Inadequacy, Load Shed, Electrical System Separation (Islanding);5/10/2011;3:25;5/11/2011;14:10;Midwest Independent System Operator (MISO);Upper Peninsula, Michigan;585;78213;load shedding, islanding
Vandalism;5/11/2012;11:05;5/11/2012;11:20;Tacoma Power (TPWR);Lakewood, Washington;Unknown;Unknown;vandalism
Physical Attack - Vandalism;5/11/2014;18:38;5/11/2014;18:39;Great River Energy;MISO North, Minnesota;Unknown;Unknown;vandalism, physical
Severe Weather - Heavy Winds;5/9/2014;18:00;5/11/2014;13:00;Vectren Energy Delivery of Indiana;Indiana;Unknown;56000;severe weather, wind
Vandalism;5/11/2011;15:55;5/12/2011;13:57;Minnesota Power;Colbyville, Haines Road and Arrowhead Substations, Minnesota;0;0;vandalism
Physical Attack - Vandalism;5/12/2014;13:14;5/12/2014;13:15;PacifiCorp;Layton, Utah;Unknown;Unknown;vandalism, physical
Vandalism;5/13/2011;6:00;5/13/2011;6:00;PacifiCorp;Salt Lake, Utah;0;0;vandalism
Vandalism/Theft;5/14/2013;0:01;5/14/2013;13:59;PacifiCorp;Portland, Oregon;Unknown;Unknown;vandalism, physical
